severity,issue,split,graph_id,source,project,contract,function,label,vulnerability_type,file,line,source_hash,state_count,external_call_count,external_methods,example_call,details
HIGH,unchecked_call_positive_without_low_level_call_signal,val,DAPP::DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62::Livepeer,DAPP,DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62,Livepeer,_withdraw,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62/contracts/tenderizer/integrations/livepeer/Livepeer.sol,L122,95cd880e968cde87,3,3,withdraw|withdrawStake|transfer,"withdrawLocks.withdraw(_account, _withdrawalID)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,val,DAPP::DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62::Livepeer,DAPP,DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62,Livepeer,_claimSecondaryRewards,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62/contracts/tenderizer/integrations/livepeer/Livepeer.sol,L162 - L164,e0ede3b313845723,8,6,pendingFees|withdrawFees|deposit|approve|ExactInputSingleParams|exactInputSingle,"livepeer.pendingFees(address(this), MAX_ROUND)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,val,DAPP::DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62::Graph,DAPP,DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62,Graph,_stake,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62/contracts/tenderizer/integrations/graph/Graph.sol,L82,f7bbd2fd63064c60,3,3,getAmount|approve|delegate,withdrawPool.getAmount(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,val,DAPP::DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62::Graph,DAPP,DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62,Graph,_withdraw,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Tenderize/tender-core-1fd606141625171fe792045ae9233890262d2d62/contracts/tenderizer/integrations/graph/Graph.sol,L136,27c976d98c766c41,2,4,withdraw|transfer|balanceOf|transfer,"withdrawPool.withdraw(_withdrawalID, _account)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,val,DAPP::DAppSCAN-source/contracts/consensys-Amp/amp-token-contracts-6871b6c64c712835b332e515cc553308dcbbc539::Amp,DAPP,DAppSCAN-source/contracts/consensys-Amp/amp-token-contracts-6871b6c64c712835b332e515cc553308dcbbc539,Amp,swap,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/consensys-Amp/amp-token-contracts-6871b6c64c712835b332e515cc553308dcbbc539/contracts/Amp.sol,L619,2799c7244039b556,3,2,allowance|transferFrom,"swapToken.allowance(_from, address(this))",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,test,DAPP::DAppSCAN-source/contracts/QuillAudits-Lido-WstETH/lido-dao-ea6fa222004b88e6a24b566a51e5b56b0079272d::WstETH,DAPP,DAppSCAN-source/contracts/QuillAudits-Lido-WstETH/lido-dao-ea6fa222004b88e6a24b566a51e5b56b0079272d,WstETH,wrap,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/QuillAudits-Lido-WstETH/lido-dao-ea6fa222004b88e6a24b566a51e5b56b0079272d/contracts/0.6.12/WstETH.sol,L58,e4b66adcc3905c34,1,2,getSharesByPooledEth|transferFrom,stETH.getSharesByPooledEth(_stETHAmount),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,test,DAPP::DAppSCAN-source/contracts/QuillAudits-Lido-WstETH/lido-dao-ea6fa222004b88e6a24b566a51e5b56b0079272d::WstETH,DAPP,DAppSCAN-source/contracts/QuillAudits-Lido-WstETH/lido-dao-ea6fa222004b88e6a24b566a51e5b56b0079272d,WstETH,unwrap,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/QuillAudits-Lido-WstETH/lido-dao-ea6fa222004b88e6a24b566a51e5b56b0079272d/contracts/0.6.12/WstETH.sol,L75,fb3be25ff14ee22b,1,2,getPooledEthByShares|transfer,stETH.getPooledEthByShares(_wstETHAmount),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,test,DAPP::DAppSCAN-source/contracts/Hacken-VYNKSAFE/code::BUSDVYNCSTAKE,DAPP,DAppSCAN-source/contracts/Hacken-VYNKSAFE/code,BUSDVYNCSTAKE,stake,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-VYNKSAFE/code/main.sol,L154,5fdbbbaff59aacd4,6,3,transferFrom|addLiquidity|transfer,"busd.transferFrom(msg.sender, address(this), amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,test,DAPP::DAppSCAN-source/contracts/Hacken-VYNKSAFE/code::BUSDVYNCSTAKE,DAPP,DAppSCAN-source/contracts/Hacken-VYNKSAFE/code,BUSDVYNCSTAKE,unStake,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-VYNKSAFE/code/main.sol,L201,fe90d27a9e645af7,6,5,returnData|transfer|transfer|transfer|transfer,data.returnData(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,negative_contains_strong_low_level_call_pattern,test,DAPP::DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4::LendingPool,DAPP,DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4,LendingPool,liquidationCall,0,,,,8c0eb2adb2c21fec,1,2,getLendingPoolCollateralManager|delegatecall,_addressesProvider.getLendingPoolCollateralManager(),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,negative_contains_strong_low_level_call_pattern,test,DAPP::DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4::LendingPool,DAPP,DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4,LendingPool,repayWithCollateral,0,,,,4bd421d340d4a2ac,2,2,getLendingPoolCollateralManager|delegatecall,_addressesProvider.getLendingPoolCollateralManager(),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,unchecked_call_positive_without_low_level_call_signal,test,DAPP::DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4::LendingPool,DAPP,DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4,LendingPool,flashLoan,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4/contracts/lendingpool/LendingPool.sol,L579,49a4337f35a82736,2,9,validateFlashloan|InterestRateMode|transferUnderlyingTo|executeOperation|transferFrom|updateState|cumulateToLiquidityIndex|totalSupply|updateInterestRates,"ValidationLogic.validateFlashloan(mode, vars.premium)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,negative_contains_strong_low_level_call_pattern,test,DAPP::DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4::LendingPool,DAPP,DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4,LendingPool,swapLiquidity,0,,,,f6fa3a0af711fb5f,1,2,getLendingPoolCollateralManager|delegatecall,_addressesProvider.getLendingPoolCollateralManager(),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,negative_contains_strong_low_level_call_pattern,test,DAPP::DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4::InitializableUpgradeabilityProxy,DAPP,DAppSCAN-source/contracts/consensys-Aave_Protocol_V2/aave-protocol-v2-f756f44a8d6a328cd545335e46e7128939db88c4,InitializableUpgradeabilityProxy,initialize,0,,,,49d73fb5d7e3c565,1,1,delegatecall,_logic.delegatecall(_data),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,unchecked_call_positive_without_low_level_call_signal,test,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c::TroveManager,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c,TroveManager,redeemCollateral,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c/packages/contracts/contracts/TroveManager.sol,L920,251bc078f143563e,8,12,getLUSDDebt|getLUSDDebt|balanceOf|getPrice|getLast|getPrev|getPrev|add|add|sendETH|increaseF_ETH|sub,activePool.getLUSDDebt(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,exact_duplicate_source_conflicting_label,train,FORGE::vfp_00032::AbstractStakingStrategy,FORGE,vfp_00032,AbstractStakingStrategy,mintShares,0,,,,19c4099dff5fbedb,4,1,safeTransferFrom,"ERC20(asset).safeTransferFrom(t_CurrentLendingRouter, address(this), assetAmount)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,train,FORGE::vfp_00032::RewardManagerMixin,FORGE,vfp_00032,RewardManagerMixin,mintShares,0,,,,19c4099dff5fbedb,4,1,safeTransferFrom,"ERC20(asset).safeTransferFrom(t_CurrentLendingRouter, address(this), assetAmount)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,train,FORGE::vfp_00032::AbstractYieldStrategy,FORGE,vfp_00032,AbstractYieldStrategy,mintShares,1,Reentrancy (SWC-107),AbstractYieldStrategy.sol,AbstractYieldStrategy.sol::mintShares#197; AbstractYieldStrategy.sol::_isWithdrawRequestPending#197,19c4099dff5fbedb,4,1,safeTransferFrom,"ERC20(asset).safeTransferFrom(t_CurrentLendingRouter, address(this), assetAmount)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,train,FORGE::vfp_00032::AbstractSingleSidedLP,FORGE,vfp_00032,AbstractSingleSidedLP,mintShares,0,,,,19c4099dff5fbedb,4,1,safeTransferFrom,"ERC20(asset).safeTransferFrom(t_CurrentLendingRouter, address(this), assetAmount)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,train,FORGE::vfp_00032::CurveConvex2Token,FORGE,vfp_00032,CurveConvex2Token,mintShares,0,,,,19c4099dff5fbedb,4,1,safeTransferFrom,"ERC20(asset).safeTransferFrom(t_CurrentLendingRouter, address(this), assetAmount)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,train,FORGE::vfp_00032::GenericERC4626WithdrawRequestManager,FORGE,vfp_00032,GenericERC4626WithdrawRequestManager,stakeTokens,1,Reentrancy (SWC-107),GenericERC4626.sol,AbstractLendingRouter.sol::deposit#222-245; MorphoLendingRouter.sol::supplyCollateral#150-164; AbstractStakingStrategy.sol::mintYieldToken#77-81; GenericERC4626.sol::stakeTokens#77-81,cb1b285f5f52b184,1,4,balanceOf|safeTransferFrom|balanceOf|safeTransfer,ERC20(YIELD_TOKEN).balanceOf(address(this)),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,train,FORGE::vfp_00032::AbstractWithdrawRequestManager,FORGE,vfp_00032,AbstractWithdrawRequestManager,stakeTokens,0,,,,cb1b285f5f52b184,1,4,balanceOf|safeTransferFrom|balanceOf|safeTransfer,ERC20(YIELD_TOKEN).balanceOf(address(this)),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::HyperCoreFlowExecutor,FORGE,vfp_00156,HyperCoreFlowExecutor,_initiateSwapFlow,1,Reentrancy (SWC-107),HyperCoreFlowExecutor.sol,HyperCoreFlowExecutor.sol::_initiateSwapFlow#445; HyperCoreFlowExecutor.sol::_fallbackHyperEVMFlow,370b1da585e99546,6,4,maximumEVMSendAmountToAmounts|isCoreAmountSafeToBridge|safeTransfer|transferFundsToSelfOnCore,"HyperCoreLib.maximumEVMSendAmountToAmounts(             params.amountInEVM,             initialCoreTokenInfo.tokenInfo.e","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::DstOFTHandler,FORGE,vfp_00156,DstOFTHandler,_initiateSwapFlow,0,,,,370b1da585e99546,7,4,maximumEVMSendAmountToAmounts|isCoreAmountSafeToBridge|safeTransfer|transferFundsToSelfOnCore,"HyperCoreLib.maximumEVMSendAmountToAmounts(             params.amountInEVM,             initialCoreTokenInfo.tokenInfo.e","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::SponsoredCCTPDstPeriphery,FORGE,vfp_00156,SponsoredCCTPDstPeriphery,_initiateSwapFlow,0,,,,370b1da585e99546,7,4,maximumEVMSendAmountToAmounts|isCoreAmountSafeToBridge|safeTransfer|transferFundsToSelfOnCore,"HyperCoreLib.maximumEVMSendAmountToAmounts(             params.amountInEVM,             initialCoreTokenInfo.tokenInfo.e","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::HyperCoreFlowExecutor,FORGE,vfp_00156,HyperCoreFlowExecutor,finalizeSwapFlows,1,Reentrancy (SWC-107),HyperCoreFlowExecutor.sol,HyperCoreFlowExecutor.sol::finalizeSwapFlows#558; HyperCoreFlowExecutor.sol::_finalizeSingleSwap#670; HyperCoreLib.transferERC20CoreToCore,c9411e9a936280e0,4,5,spotBalance|minimumCoreReceiveAmountToAmounts|withdraw|safeTransfer|transferFundsToSelfOnCore,"HyperCoreLib.spotBalance(             address(finalTokenInfo.swapHandler),             finalCoreTokenInfo.coreIndex","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::DstOFTHandler,FORGE,vfp_00156,DstOFTHandler,finalizeSwapFlows,0,,,,c9411e9a936280e0,4,5,spotBalance|minimumCoreReceiveAmountToAmounts|withdraw|safeTransfer|transferFundsToSelfOnCore,"HyperCoreLib.spotBalance(             address(finalTokenInfo.swapHandler),             finalCoreTokenInfo.coreIndex","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::SponsoredCCTPDstPeriphery,FORGE,vfp_00156,SponsoredCCTPDstPeriphery,finalizeSwapFlows,0,,,,c9411e9a936280e0,4,5,spotBalance|minimumCoreReceiveAmountToAmounts|withdraw|safeTransfer|transferFundsToSelfOnCore,"HyperCoreLib.spotBalance(             address(finalTokenInfo.swapHandler),             finalCoreTokenInfo.coreIndex","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::HyperCoreFlowExecutor,FORGE,vfp_00156,HyperCoreFlowExecutor,_finalizeSingleSwap,1,Reentrancy (SWC-107),HyperCoreFlowExecutor.sol,HyperCoreFlowExecutor.sol::finalizeSwapFlows#558; HyperCoreFlowExecutor.sol::_finalizeSingleSwap#670; HyperCoreLib.transferERC20CoreToCore,72a29dab7a7d4843,1,2,minimumCoreReceiveAmountToAmounts|transferERC20CoreToCore,"HyperCoreLib.minimumCoreReceiveAmountToAmounts(             additionalToSend,             finalCoreTokenInfo.tokenInfo.e","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::DstOFTHandler,FORGE,vfp_00156,DstOFTHandler,_finalizeSingleSwap,0,,,,72a29dab7a7d4843,1,2,minimumCoreReceiveAmountToAmounts|transferERC20CoreToCore,"HyperCoreLib.minimumCoreReceiveAmountToAmounts(             additionalToSend,             finalCoreTokenInfo.tokenInfo.e","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::SponsoredCCTPDstPeriphery,FORGE,vfp_00156,SponsoredCCTPDstPeriphery,_finalizeSingleSwap,0,,,,72a29dab7a7d4843,1,2,minimumCoreReceiveAmountToAmounts|transferERC20CoreToCore,"HyperCoreLib.minimumCoreReceiveAmountToAmounts(             additionalToSend,             finalCoreTokenInfo.tokenInfo.e","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::HyperCoreFlowExecutor,FORGE,vfp_00156,HyperCoreFlowExecutor,_fallbackHyperEVMFlow,1,Reentrancy (SWC-107),HyperCoreFlowExecutor.sol,HyperCoreFlowExecutor.sol::_initiateSwapFlow#445; HyperCoreFlowExecutor.sol::_fallbackHyperEVMFlow,3f36214bdc0eb76e,2,2,withdraw|safeTransfer,"donationBox.withdraw(IERC20(params.finalToken), sponsorshipFundsToForward)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::DstOFTHandler,FORGE,vfp_00156,DstOFTHandler,_fallbackHyperEVMFlow,0,,,,3f36214bdc0eb76e,2,2,withdraw|safeTransfer,"donationBox.withdraw(IERC20(params.finalToken), sponsorshipFundsToForward)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::SponsoredCCTPDstPeriphery,FORGE,vfp_00156,SponsoredCCTPDstPeriphery,_fallbackHyperEVMFlow,0,,,,3f36214bdc0eb76e,2,2,withdraw|safeTransfer,"donationBox.withdraw(IERC20(params.finalToken), sponsorshipFundsToForward)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::HyperCoreFlowExecutor,FORGE,vfp_00156,HyperCoreFlowExecutor,activateUserAccount,1,Reentrancy (SWC-107),HyperCoreFlowExecutor.sol,HyperCoreFlowExecutor.sol::activateUserAccount,2c51fb9444190dcf,2,4,coreUserExists|isCoreAmountSafeToBridge|withdraw|transferERC20EVMToCore,HyperCoreLib.coreUserExists(finalRecipient),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::DstOFTHandler,FORGE,vfp_00156,DstOFTHandler,activateUserAccount,0,,,,2c51fb9444190dcf,2,4,coreUserExists|isCoreAmountSafeToBridge|withdraw|transferERC20EVMToCore,HyperCoreLib.coreUserExists(finalRecipient),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::SponsoredCCTPDstPeriphery,FORGE,vfp_00156,SponsoredCCTPDstPeriphery,activateUserAccount,0,,,,2c51fb9444190dcf,2,4,coreUserExists|isCoreAmountSafeToBridge|withdraw|transferERC20EVMToCore,HyperCoreLib.coreUserExists(finalRecipient),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::DstOFTHandler,FORGE,vfp_00156,DstOFTHandler,_executeFlow,0,,,,3d3bc858b39d03f1,1,5,balanceOf|balanceOf|safeTransfer|handleV3AcrossMessage|balanceOf,IERC20(params.initialToken).balanceOf(address(this)),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::ArbitraryEVMFlowExecutor,FORGE,vfp_00156,ArbitraryEVMFlowExecutor,_executeFlow,1,Reentrancy (SWC-107),ArbitraryEVMFlowExecutor.sol,ArbitraryEVMFlowExecutor.sol::_executeFlow#56-114,3d3bc858b39d03f1,1,5,balanceOf|balanceOf|safeTransfer|handleV3AcrossMessage|balanceOf,IERC20(params.initialToken).balanceOf(address(this)),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,val,FORGE::vfp_00156::SponsoredCCTPDstPeriphery,FORGE,vfp_00156,SponsoredCCTPDstPeriphery,_executeFlow,0,,,,3d3bc858b39d03f1,1,5,balanceOf|balanceOf|safeTransfer|handleV3AcrossMessage|balanceOf,IERC20(params.initialToken).balanceOf(address(this)),"Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,test,FORGE::vfp_00102::OracleLess,FORGE,vfp_00102,OracleLess,_cancelOrder,1,Reentrancy (SWC-107),OracleLess.sol,OracleLess.sol::pendingOrderIds#L151; OracleLess.sol::_cancelOrder,815f4a5891f872d6,1,2,removeFromArray|safeTransfer,"ArrayMutation.removeFromArray(                     i,                     pendingOrderIds                 )","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,test,FORGE::vfp_00102::Bracket,FORGE,vfp_00102,Bracket,_cancelOrder,0,,,,815f4a5891f872d6,1,2,removeFromArray|safeTransfer,"ArrayMutation.removeFromArray(                     i,                     pendingOrderIds                 )","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,test,FORGE::vfp_00102::OracleLess,FORGE,vfp_00102,OracleLess,procureTokens,1,Reentrancy (SWC-107),OracleLess.sol,OracleLess.sol::procureTokens#280; StopLimit.sol::createOrder#171; StopLimit.sol::modifyOrder#226-230; Bracket.sol::modifyOrder#250-254,036795e2017568bc,1,3,permit|transferFrom|safeTransferFrom,"permit2.permit(owner, payload.permitSingle, payload.signature)","Normalized function source hash appears with labels [0, 1]."
HIGH,exact_duplicate_source_conflicting_label,test,FORGE::vfp_00102::Bracket,FORGE,vfp_00102,Bracket,procureTokens,0,,,,036795e2017568bc,1,3,permit|transferFrom|safeTransferFrom,"permit2.permit(owner, payload.permitSingle, payload.signature)","Normalized function source hash appears with labels [0, 1]."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00029::AntiSandwichHook,FORGE,vfp_00029,AntiSandwichHook,_beforeSwap,1,Front-running / Tx Order (SWC-114),AntiSandwichHook.sol,AntiSandwichHook.sol::_beforeSwap#98-105; AntiSandwichHook.sol#L76,4412262142e9e0b0,1,3,toId|getSlot0|tick,key.toId(),"Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00033::DineroWithdrawRequestManager,FORGE,vfp_00033,DineroWithdrawRequestManager,_initiateWithdrawImpl,1,Front-running / Tx Order (SWC-114),src/withdraws/Dinero.sol,src/withdraws/Dinero.sol::_initiateWithdrawImpl; src/withdraws/Dinero.sol::_finalizeWithdrawImpl; src/withdraws/PirexETH.sol::_initiateRedemption,9c166d7b349952d6,2,1,approve,"pxETH.approve(address(PirexETH), amountToWithdraw)","Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00262::DIAExternalStaking,FORGE,vfp_00262,DIAExternalStaking,_stake,1,Front-running / Tx Order (SWC-114),DIAExternalStaking.sol,DIAExternalStaking.sol::addRewardToPool; DIAExternalStaking.sol::_stake,f24007f11f53214d,10,1,safeTransferFrom,"STAKING_TOKEN.safeTransferFrom(staker, address(this), amount)","Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00262::DIAExternalStaking,FORGE,vfp_00262,DIAExternalStaking,addRewardToPool,1,Front-running / Tx Order (SWC-114),DIAExternalStaking.sol,DIAExternalStaking.sol::addRewardToPool; DIAExternalStaking.sol::_stake,6723592925c99369,2,1,safeTransferFrom,"STAKING_TOKEN.safeTransferFrom(msg.sender, address(this), amount)","Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00058::LikwidPairPosition,FORGE,vfp_00058,LikwidPairPosition,removeLiquidity,1,Front-running / Tx Order (SWC-114),LikwidPairPosition.sol,LikwidPairPosition.sol::increaseLiquidity#91; LikwidPairPosition.sol::removeLiquidity#102,577782dc1bd1bebb,2,2,ModifyLiquidityParams|unlock,"IVault.ModifyLiquidityParams({             amount0: 0,             amount1: 0,             liquidityDelta: -int128(liqui","Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00179::ZkStack_CustomGasToken_Adapter,FORGE,vfp_00179,ZkStack_CustomGasToken_Adapter,relayTokens,1,Front-running / Tx Order (SWC-114),ZkStack_CustomGasToken_Adapter.sol,ZkStack_CustomGasToken_Adapter.sol::relayTokens#178; ZkStack_CustomGasToken_Adapter.sol#230,8ec4664e57b99c17,9,12,sharedBridge|withdraw|forceApprove|requestL2TransactionTwoBridges|forceApprove|requestL2TransactionDirect|forceApprove|forceApprove|requestL2TransactionTwoBridges|forceApprove|forceApprove|requestL2TransactionTwoBridges,BRIDGE_HUB.sharedBridge(),"Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00200::CSExitPenalties,FORGE,vfp_00200,CSExitPenalties,processExitDelayReport,1,Front-running / Tx Order (SWC-114),CSExitPenalties.sol,CSExitPenalties.sol::processExitDelayReport; ValidatorExitDelayVerifier.sol::verifyValidatorExitDelay#178-196,c24775f0028341f8,3,3,getBondCurveId|getAllowedExitDelay|getExitDelayPenalty,ACCOUNTING.getBondCurveId(nodeOperatorId),"Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,front_running_positive_weak_fit_for_interaction_localization,train,FORGE::vfp_00200::ValidatorExitDelayVerifier,FORGE,vfp_00200,ValidatorExitDelayVerifier,verifyValidatorExitDelay,1,Front-running / Tx Order (SWC-114),ValidatorExitDelayVerifier.sol,CSExitPenalties.sol::processExitDelayReport; ValidatorExitDelayVerifier.sol::verifyValidatorExitDelay#178-196,8be3ea119e9a18db,1,4,validatorsExitBusOracle|stakingRouter|unpackExitRequest|reportValidatorExitDelay,LOCATOR.validatorsExitBusOracle(),"Front-running labels often depend on transaction ordering/economic context, not just state+external-call hyperedge evidence."
MEDIUM,negative_contains_strong_low_level_call_pattern,train,FORGE::vfp_00200::ValidatorExitDelayVerifier,FORGE,vfp_00200,ValidatorExitDelayVerifier,_verifyBeaconBlockRoot,0,,,,8b02d922052e9efe,2,1,staticcall,BEACON_ROOTS.staticcall(abi.encode(beaconBlock.rootsTimestamp)),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
